views,comments,freq,month-year,moving-avg-views,piecewise-views,moving-avg-comments,piecewise-comments,moving-avg-freq,piecewise-freq
2000,7,1,2007-08-01,0.0,1093.1299009245001,0.0,3.4963952080664127,0.0,0.36467184066105335
0,0,0,2008-01-01,0.0,1114.970744777281,0.0,3.6527893758572625,0.0,0.37477526454934
0,0,0,2008-02-01,0.0,1136.8115886300616,0.0,3.8091835436481123,0.0,0.3848786884376266
0,0,0,2008-03-01,500.0,1158.6524324828424,1.75,3.9655777114389625,0.25,0.3949821123259133
0,0,0,2008-04-01,0.0,1180.493276335623,0.0,4.121971879229813,0.0,0.40508553621419996
0,0,0,2008-05-01,0.0,1202.3341201884039,0.0,4.278366047020662,0.0,0.4151889601024866
0,0,0,2008-06-01,0.0,1224.1749640411845,0.0,4.434760214811512,0.0,0.42529238399077324
3000,11,1,2008-07-01,750.0,1246.0158078939653,2.75,4.591154382602362,0.25,0.4353958078790599
0,0,0,2008-08-01,750.0,1267.8566517467461,2.75,4.747548550393212,0.25,0.4454992317673465
0,0,0,2008-09-01,750.0,1289.6974955995267,2.75,4.903942718184062,0.25,0.4556026556556332
0,0,0,2008-10-01,750.0,1311.5383394523076,2.75,5.060336885974912,0.25,0.46570607954391985
2000,13,1,2008-11-01,500.0,1333.3791833050882,3.25,5.216731053765762,0.25,0.4758095034322065
3000,44,1,2008-12-01,1250.0,1355.220027157869,14.25,5.373125221556611,0.5,0.4859129273204931
0,0,0,2009-01-01,1250.0,1377.0608710106496,14.25,5.5295193893474615,0.5,0.4960163512087798
0,0,0,2009-02-01,1250.0,1398.9017148634305,14.25,5.685913557138312,0.5,0.5061197750970664
2000,7,1,2009-03-01,1250.0,1420.742558716211,12.75,5.842307724929162,0.5,0.5162231989853531
2000,11,1,2009-04-01,1000.0,1442.583402568992,4.5,5.998701892720011,0.5,0.5263266228736397
2000,3,1,2009-05-01,1500.0,1464.4242464217728,5.25,6.155096060510861,0.75,0.5364300467619264
2000,6,1,2009-06-01,2000.0,1486.2650902745534,6.75,6.311490228301711,1.0,0.5465334706502131
7712,5,2,2009-07-01,3428.0,1508.1059341273342,6.25,6.467884396092561,1.25,0.5566368945384996
3000,30,1,2009-08-01,3678.0,1529.9467779801148,11.0,6.624278563883411,1.25,0.5667403184267863
8000,24,2,2009-09-01,5178.0,1551.7876218328956,16.25,6.780672731674261,1.5,0.576843742315073
9000,8,1,2009-10-01,6928.0,1573.6284656856765,16.75,6.937066899465111,1.5,0.5869471662033596
985,2,1,2009-11-01,5246.25,1595.469309538457,16.0,7.09346106725596,1.25,0.5970505900916463
3000,19,1,2009-12-01,5246.25,1617.3101533912377,13.25,7.249855235046811,1.25,0.607154013979933
5000,24,2,2010-01-01,4496.25,1639.1509972440185,13.25,7.406249402837661,1.25,0.6172574378682196
1000,3,1,2010-02-01,2496.25,1660.9918410967994,12.0,7.56264357062851,1.25,0.6273608617565063
1000,1,1,2010-03-01,2500.0,1682.83268494958,11.75,7.7190377384193605,1.25,0.637464285644793
0,0,0,2010-04-01,1750.0,1704.6735288023608,7.0,7.875431906210211,1.0,0.6475677095330795
0,0,0,2010-05-01,500.0,1726.5143726551414,1.0,8.03182607400106,0.5,0.6576711334213662
0,0,0,2010-06-01,250.0,1748.3552165079223,0.25,8.18822024179191,0.25,0.6677745573096528
915,5,1,2010-07-01,228.75,1770.196060360703,1.25,8.34461440958276,0.25,0.6778779811979394
0,0,0,2010-08-01,228.75,1792.0369042134837,1.25,8.50100857737361,0.25,0.6879814050862261
0,0,0,2010-09-01,228.75,1813.8777480662643,1.25,8.657402745164461,0.25,0.6980848289745127
2000,13,1,2010-10-01,728.75,1835.7185919190451,4.5,8.81379691295531,0.5,0.7081882528627994
3000,32,2,2010-11-01,1250.0,1857.559435771826,11.25,8.97019108074616,0.75,0.7182916767510861
951,3,1,2010-12-01,1487.75,1879.4002796246066,12.0,9.126585248537008,1.0,0.7283951006393727
