views,comments,freq,month-year,moving-avg-views,piecewise-views,moving-avg-comments,piecewise-comments,moving-avg-freq,piecewise-freq
0,0,0,2008-01-01,0.0,-197.4637591337955,0.0,-1.2685993467604167e-05,0.0,-0.09298834764677083
0,0,0,2008-02-01,0.0,-154.41975461046772,0.0,-1.1183620811822486e-05,0.0,-0.08244863336080654
0,0,0,2008-03-01,0.0,-111.37575008713993,0.0,-9.681248156040805e-06,0.0,-0.07190891907484227
0,0,0,2008-04-01,0.0,-68.33174556381215,0.0,-8.178875500259125e-06,0.0,-0.06136920478887799
0,0,0,2008-05-01,0.0,-25.287741040484377,0.0,-6.676502844477444e-06,0.0,-0.05082949050291371
0,0,0,2008-06-01,0.0,17.756263482843394,0.0,-5.174130188695763e-06,0.0,-0.04028977621694943
0,0,0,2008-07-01,0.0,60.800268006171194,0.0,-3.6717575329140822e-06,0.0,-0.029750061930985144
0,0,0,2008-08-01,0.0,103.84427252949897,0.0,-2.1693848771324014e-06,0.0,-0.019210347645020873
0,0,0,2008-09-01,0.0,146.88827705282674,0.0,-6.670122213507207e-07,0.0,-0.008670633359056587
0,0,0,2008-10-01,0.0,189.9322815761545,0.0,8.353604344309601e-07,0.0,0.0018690809269076986
0,0,0,2008-11-01,0.0,232.97628609948228,0.0,2.337733090212641e-06,0.0,0.01240879521287197
0,0,0,2008-12-01,0.0,276.0202906228101,0.0,3.840105745994322e-06,0.0,0.022948509498836256
0,0,0,2009-01-01,0.0,319.06429514613785,0.0,5.3424784017760024e-06,0.0,0.03348822378480054
0,0,0,2009-02-01,0.0,362.1082996694656,0.0,6.844851057557683e-06,0.0,0.04402793807076483
0,0,0,2009-03-01,0.0,405.1523041927934,0.0,8.347223713339364e-06,0.0,0.054567652356729085
0,0,0,2009-04-01,0.0,448.19630871612117,0.0,9.849596369121045e-06,0.0,0.06510736664269337
0,0,0,2009-05-01,0.0,491.24031323944894,0.0,1.1351969024902726e-05,0.0,0.07564708092865766
0,0,0,2009-06-01,0.0,534.2843177627767,0.0,1.2854341680684406e-05,0.0,0.08618679521462194
0,0,0,2009-07-01,0.0,577.3283222861045,0.0,1.4356714336466087e-05,0.0,0.09672650950058623
0,0,0,2009-08-01,0.0,620.3723268094323,0.0,1.5859086992247768e-05,0.0,0.10726622378655049
0,0,0,2009-09-01,0.0,663.41633133276,0.0,1.736145964802945e-05,0.0,0.11780593807251477
0,0,0,2009-10-01,0.0,706.4603358560878,0.0,1.886383230381113e-05,0.0,0.12834565235847906
0,0,0,2009-11-01,0.0,749.5043403794156,0.0,2.036620495959281e-05,0.0,0.13888536664444334
0,0,0,2009-12-01,0.0,792.5483449027433,0.0,2.186857761537449e-05,0.0,0.14942508093040763
0,0,0,2010-01-01,0.0,835.5923494260712,0.0,2.3370950271156172e-05,0.0,0.1599647952163719
0,0,0,2010-02-01,0.0,878.6363539493989,0.0,2.4873322926937853e-05,0.0,0.1705045095023362
0,0,0,2010-03-01,0.0,921.6803584727268,0.0,2.6375695582719533e-05,0.0,0.18104422378830048
0,0,0,2010-04-01,0.0,964.7243629960544,0.0,6.774773324508596,0.0,0.19158393807426471
