views,comments,freq,month-year,moving-avg-views,piecewise-views,moving-avg-comments,piecewise-comments,moving-avg-freq,piecewise-freq
0,0,0,2008-01-01,0.0,-3.8782737063685115e-08,0.0,-3.88526925986582e-10,0.0,-3.1888273528759974e-09
0,0,0,2008-02-01,0.0,-3.7928661142587795e-08,0.0,-3.8715832630855094e-10,0.0,-2.9090344713042364e-09
0,0,0,2008-03-01,0.0,-3.7074585221490476e-08,0.0,-3.857897266305199e-10,0.0,-2.6292415897324755e-09
0,0,0,2008-04-01,0.0,-3.622050930039316e-08,0.0,-3.8442112695248885e-10,0.0,-2.3494487081607145e-09
0,0,0,2008-05-01,0.0,-3.536643337929584e-08,0.0,-3.830525272744578e-10,0.0,-2.0696558265889536e-09
0,0,0,2008-06-01,0.0,-3.451235745819852e-08,0.0,-3.8168392759642676e-10,0.0,-1.7898629450171926e-09
0,0,0,2008-07-01,0.0,-3.36582815371012e-08,0.0,-3.803153279183957e-10,0.0,-1.5100700634454316e-09
0,0,0,2008-08-01,0.0,-3.280420561600388e-08,0.0,-3.7894672824036467e-10,0.0,-1.2302771818736707e-09
0,0,0,2008-09-01,0.0,-3.195012969490656e-08,0.0,-3.775781285623336e-10,0.0,-9.504843003019097e-10
0,0,0,2008-10-01,0.0,-3.109605377380924e-08,0.0,-3.762095288843026e-10,0.0,-6.706914187301487e-10
0,0,0,2008-11-01,0.0,-3.024197785271192e-08,0.0,-3.7484092920627153e-10,0.0,-3.9089853715838776e-10
0,0,0,2008-12-01,0.0,-2.9387901931614603e-08,0.0,-3.734723295282405e-10,0.0,-1.111056555866268e-10
0,0,0,2009-01-01,0.0,-2.8533826010517284e-08,0.0,-3.7210372985020944e-10,0.0,1.6868722598513417e-10
0,0,0,2009-02-01,0.0,-2.7679750089419965e-08,0.0,-3.707351301721784e-10,0.0,4.4848010755689514e-10
0,0,0,2009-03-01,0.0,-2.6825674168322645e-08,0.0,-3.6936653049414735e-10,0.0,7.282729891286561e-10
0,0,0,2009-04-01,0.0,-2.5971598247225326e-08,0.0,-3.679979308161163e-10,0.0,1.008065870700417e-09
0,0,0,2009-05-01,0.0,-2.5117522326128007e-08,0.0,-3.6662933113808525e-10,0.0,1.287858752272178e-09
0,0,0,2009-06-01,0.0,-2.4263446405030688e-08,0.0,-3.652607314600542e-10,0.0,1.567651633843939e-09
0,0,0,2009-07-01,0.0,-2.340937048393337e-08,0.0,-3.6389213178202316e-10,0.0,1.8474445154157e-09
0,0,0,2009-08-01,0.0,-2.255529456283605e-08,0.0,-3.625235321039921e-10,0.0,2.127237396987461e-09
